 ,number,MoraActual,Colocado actual,Sucursal,FechaPrimerCompra,FechaUltimaCompra,Recencia,ComprasUltimoMes,ComprasPromedio6meses,ColocadoPromedio6meses,RentabilidadPromedioVale,RentabilidadPromedioMes,UsoLinea,LimiteCredito,LimiteContractual,Estatus,Nivel,R,F,M,Código RFM,Accion requerida
689,1,0,300740.31,Culiacan,2017-04-27,2025-09-02,2,23,20,"$284,942",$205,"$4,093",90.61%,"$320,000","$320,000",Autorizado,Titanio,4,3,2,432,💎 Ancla de Negocio
690,2,0,154221.35,Culiacan,2017-06-24,2025-09-03,1,10,10,"$157,826",$165,"$1,592",0.3108466667,"$450,000","$500,000",Autorizado,Platino,5,2,2,522,🎟️​ Crecer frecuencia
691,3,0,256199.68,Culiacan,2017-07-14,2025-09-03,1,21,17,"$225,552",$86,"$1,465",0.8217033333,"$300,000","$300,000",Autorizado,Platino,5,3,4,534,💎 Ancla de Negocio
692,4,0,321599.81,Culiacan,2017-07-23,2025-09-03,1,25,21,"$350,455",$161,"$3,437",74.62%,"$390,000","$400,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
693,5,0,138992.37,Culiacan,2017-08-03,2025-09-02,2,11,13,"$134,172",$42,$551,0.6850285714,"$175,000","$300,000",Autorizado,Oro,4,2,4,424,🔥 Mantener Racha
694,6,0,608130.07,Culiacan,2017-06-23,2025-09-03,1,42,37,"$535,657",$157,"$5,742",96.42%,"$650,000","$650,000",Autorizado,Titanio,5,5,5,555,💎 Ancla de Negocio
695,7,0,220953.77,Culiacan,2017-06-23,2025-09-02,2,17,13,"$175,711",$203,"$2,604",0.767751469,"$286,934","$300,000",Autorizado,Platino,4,3,3,433,📈​ Crecer Monto
696,8,0,170633,Culiacan,2017-06-26,2025-09-02,2,15,11,"$158,817",$113,"$1,242",0.809155,"$200,000","$300,000",Autorizado,Platino,4,3,2,432,📈​ Crecer Monto
697,9,0,194790.33,Culiacan,2017-05-19,2025-09-01,3,19,14,"$180,707",$127,"$1,773",0.7238875,"$240,000","$300,000",Autorizado,Platino,4,3,3,433,📈​ Crecer Monto
699,11,0,38439,Culiacan,2017-07-04,2025-09-02,2,4,5,"$56,590",$155,$773,9.21%,"$450,000","$450,000",Autorizado,Plata,4,1,2,412,🎟️​ Crecer frecuencia
700,12,0,710841.88,Culiacan,2017-06-06,2025-09-03,1,51,48,"$735,248",$193,"$9,256",94.54%,"$744,773","$744,773",Autorizado,Titanio,5,5,5,555,💎 Ancla de Negocio
704,16,0,216754,Culiacan,2017-06-12,2025-08-22,13,17,15,"$204,950",$253,"$3,749",0.67735625,"$320,000","$320,000",Autorizado,Platino,4,3,3,433,📈​ Crecer Monto
706,18,0,398761.63,Culiacan,2017-05-05,2025-09-03,1,27,26,"$394,743",$180,"$4,727",88.77%,"$420,000","$420,000",Autorizado,Titanio,5,3,3,533,💎 Ancla de Negocio
707,19,0,275707.76,Culiacan,2017-07-22,2025-09-03,1,21,19,"$283,234",$156,"$2,934",91.05%,"$281,520","$300,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
710,22,0,114505.24,Culiacan,2017-07-25,2025-09-01,3,6,6,"$126,104",$298,"$1,739",0.5990826754,"$180,743","$300,000",Autorizado,Oro,4,1,3,413,🎟️​ Crecer frecuencia
711,23,0,125951,Culiacan,2017-06-13,2025-08-23,12,5,6,"$127,466",$276,"$1,705",0.54815,"$200,000","$300,000",Autorizado,Oro,4,1,3,413,🎟️​ Crecer frecuencia
713,25,0,419131,Culiacan,2017-05-24,2025-09-02,2,29,26,"$414,913",$204,"$5,342",88.01%,"$420,000","$420,000",Autorizado,Titanio,4,3,3,433,💎 Ancla de Negocio
714,26,0,97687,Culiacan,2017-07-29,2025-08-25,10,12,7,"$78,160",$139,$953,72.36%,"$135,000","$300,000",Autorizado,Plata,4,3,3,433,📈​ Crecer Monto
715,27,0,283456.23,Culiacan,2017-07-27,2025-09-02,2,26,22,"$270,576",$141,"$3,104",85.41%,"$330,696","$400,000",Autorizado,Titanio,4,3,2,432,💎 Ancla de Negocio
716,28,0,171976.88,Culiacan,2017-05-05,2025-09-03,1,14,11,"$183,511",$186,"$2,019",0.6156892857,"$280,000","$300,000",Autorizado,Platino,5,2,2,522,🎟️​ Crecer frecuencia
717,29,0,7379.45,Culiacan,2017-07-22,2025-05-11,116,0,3,"$44,698",$113,$300,0.03029090909,"$220,000","$320,000",Autorizado,Bronce,1,1,1,111,🧊 Hibernando
718,30,0,322850.91,Culiacan,2017-07-05,2025-09-03,1,21,20,"$301,333",$188,"$3,720",83.63%,"$350,000","$400,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
720,32,0,197624.87,Culiacan,2017-07-24,2025-09-01,3,17,12,"$167,963",$231,"$2,655",0.7755252101,"$238,000","$300,000",Autorizado,Platino,4,3,3,433,📈​ Crecer Monto
721,33,0,92501,Culiacan,2017-08-06,2025-08-24,11,8,5,"$88,513",$162,$865,51.43%,"$179,872","$300,000",Autorizado,Plata,4,2,3,423,🎟️​ Crecer frecuencia
722,34,0,176461.85,Culiacan,2017-11-09,2025-08-25,10,11,10,"$173,936",$274,"$2,881",0.6700693878,"$245,000","$300,000",Autorizado,Platino,4,2,2,422,🎟️​ Crecer frecuencia
723,35,0,312006.64,Culiacan,2017-05-03,2025-09-03,1,26,26,"$316,560",$150,"$3,865",93.72%,"$330,363","$330,363",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
724,36,0,136577.67,Culiacan,2017-03-07,2025-09-03,1,5,9,"$173,816",$192,"$1,732",0.5304366667,"$300,000","$300,000",Autorizado,Platino,5,1,1,511,🎟️​ Crecer frecuencia
727,39,0,144653,Culiacan,2017-05-24,2025-09-01,3,8,8,"$142,219",$270,"$2,208",0.4635571429,"$280,000","$300,000",Autorizado,Oro,4,2,4,424,🔥 Mantener Racha
